               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.044883,            0.016465,           0.0051427,             0.84514,             0.96211,              0.9897,             0.54246,            0.044421,            0.014154,           0.0035817,           0.0095198,           0.0095198,           0.0095198
                  99,            0.046191,            0.014987,           0.0049645,             0.54921,             0.82195,             0.74998,             0.22829,            0.063294,            0.014198,           0.0036776,           0.0095149,           0.0095149,           0.0095149
                 100,            0.059531,            0.016735,           0.0060172,             0.54921,             0.82195,             0.74998,             0.22829,            0.063294,            0.014198,           0.0036776,             0.00951,             0.00951,             0.00951
                 101,            0.059517,            0.015921,           0.0056515,             0.53914,             0.84789,             0.76716,             0.32622,            0.059834,            0.014145,           0.0036999,            0.009505,            0.009505,            0.009505
                 102,            0.055606,            0.015589,             0.00602,              0.6118,             0.95225,             0.85452,             0.30064,            0.046235,            0.014565,           0.0037995,              0.0095,              0.0095,              0.0095
                 103,            0.050493,            0.017284,           0.0053579,             0.63796,             0.91242,             0.86741,             0.33318,            0.053284,            0.013855,           0.0038676,           0.0094951,           0.0094951,           0.0094951
                 104,            0.055166,            0.016495,           0.0055629,             0.63796,             0.91242,             0.86741,             0.33318,            0.053284,            0.013855,           0.0038676,           0.0094902,           0.0094902,           0.0094902
                 105,            0.051629,            0.015669,           0.0053707,             0.69564,             0.96512,             0.91398,             0.38804,            0.050127,            0.013905,           0.0039057,           0.0094852,           0.0094852,           0.0094852
                 106,            0.048831,            0.017223,           0.0057333,             0.79433,              0.9791,             0.91389,             0.44358,            0.044004,            0.014165,           0.0038156,           0.0094803,           0.0094803,           0.0094803
                 107,            0.045354,            0.017854,           0.0057422,             0.87074,             0.91764,              0.9194,             0.37494,            0.043692,            0.014234,           0.0038854,           0.0094753,           0.0094753,           0.0094753
                 108,            0.047212,            0.015271,           0.0057104,             0.87074,             0.91764,              0.9194,             0.37494,            0.043692,            0.014234,           0.0038854,           0.0094704,           0.0094704,           0.0094704
                 109,            0.046217,            0.016057,           0.0058099,             0.80283,             0.97898,              0.9332,             0.47846,            0.039718,            0.014431,           0.0039451,           0.0094654,           0.0094654,           0.0094654
                 110,            0.046177,            0.016931,           0.0058398,              0.7617,             0.85429,             0.87892,             0.38258,            0.042886,            0.014507,           0.0038193,           0.0094605,           0.0094605,           0.0094605
                 111,            0.047199,             0.01792,           0.0052622,             0.41728,             0.88151,              0.6359,             0.12489,            0.051671,            0.014416,           0.0038403,           0.0094555,           0.0094555,           0.0094555
                 112,            0.053987,            0.016258,           0.0052713,             0.41728,             0.88151,              0.6359,             0.12489,            0.051671,            0.014416,           0.0038403,           0.0094506,           0.0094506,           0.0094506
                 113,            0.051523,            0.015731,            0.004886,             0.46401,             0.91146,             0.64923,             0.18866,            0.047065,            0.014347,           0.0038849,           0.0094456,           0.0094456,           0.0094456
                 114,            0.047755,            0.016386,           0.0051856,              0.7546,             0.96091,             0.95116,             0.50637,            0.041316,            0.014129,           0.0038249,           0.0094407,           0.0094407,           0.0094407
                 115,            0.045213,            0.018481,           0.0049436,             0.43848,             0.96309,             0.63659,             0.12039,            0.049483,              0.0147,           0.0035181,           0.0094357,           0.0094357,           0.0094357
                 116,            0.054647,            0.016376,           0.0046589,             0.43848,             0.96309,             0.63659,             0.12039,            0.049483,              0.0147,           0.0035181,           0.0094307,           0.0094307,           0.0094307
                 117,            0.051171,            0.016963,           0.0046642,             0.50405,             0.92578,             0.59668,             0.22667,            0.045343,            0.014186,           0.0035165,           0.0094258,           0.0094258,           0.0094258
                 118,            0.048382,            0.016133,           0.0046956,             0.59196,             0.93721,             0.81539,             0.39216,             0.04526,            0.013839,           0.0035679,           0.0094208,           0.0094208,           0.0094208
                 119,            0.048323,            0.017138,           0.0047621,             0.78395,             0.96218,             0.83009,             0.32365,            0.050254,            0.014258,           0.0034347,           0.0094159,           0.0094159,           0.0094159
